상품코드,상품명,ABC,단품가로(mm),단품세로(mm),단품높이(mm),중량(g)
CMZ110519,스테인레스 끈 가로용,C,43,59,20,167
10013820002,[TA221VT53P] stitch slim vest-black-1,A,87,11,65,146
8809079201743,더퓨어로터스 연꽃잎 슬리핑팩,C,13,51,47,222
O2SBCB01048XXX,레아 크로스바디+CLOUD,C,4,49,29,148
CP_HT,CP_하트,C,30,38,73,221
7118409000008,토킹피스 사과(레드),A,64,80,14,277
AB_CS_VRGP,MS_진주귀걸이,C,81,98,47,176
TRAY_YL,공작판_노랑,A,46,57,58,283
O2SBTT11009XXX,코지 토트+BLACK,B,48,89,16,110
O1SCPT02042055,CARGO PANTS - KHAKI 055,B,51,61,24,244
2101FD011,옛새 피그드레스 오 드 퍼퓸 11ML,A,67,76,84,267
O9SSSR78019235,크루니슬리퍼 CARAMEL 235,A,52,76,64,65
8801121025932,[앨리슨]아몬드 브리즈 뉴트리플러스 식이섬유 190ml 24개입,C,33,25,16,52
CBR-YL,칼라붓_노랑,C,41,81,24,69
CMZ111356,반팔티베이지,B,48,74,56,298
O9FSSS01009235,데일즈 스니커즈 BLACK 235,A,46,7,23,227
CMZ110564,쥐돌이 창문 장난감,C,43,76,44,46
IN-SS-001, 인소의 법칙 수면안대 A단이,B,38,36,77,148
8809505031425,샤르드 86%하와이 해양심층수 앰플미스트,A,2,3,98,169
AB-CBDS,CB_공룡,B,74,79,36,161
RM204S007WH230,윈드레이서 스프리트,C,93,28,76,106
A0001,아큐민 수용성 커큐민 정제 1개월,A,23,72,65,77
8809823070304,다이어리 아이보리,B,99,13,5,178
Half Zip-up L-grey-M,Ballon Half Zip-up (L/grey)(사이즈=M),B,55,3,9,291
9791191687002,유하다요기초일본어5,B,91,41,17,166
AB-COTR,CO_나무,C,5,47,28,99
RM204J009WH,스타버스트 스터드 이어링 WHITE_F,B,16,56,86,25
Short Pants M-grey-L,반바지-그레이 컬러,A,70,47,32,159
O9SBCB81028XXX,로티새들크로스바디 BANANA XXX,A,96,70,5,230
CMZ110496,쇠 흡착판,A,66,56,78,247
CMZ110366,스컹크,A,19,78,87,235
72SQ-021144,포인트앤뷰 룸앤티비 BLC 27인치,B,46,42,28,57
9791197250842,원어민 섀도잉 회화 2,A,31,25,81,112
O1FPLP15145XXX,데카 1단 장지갑 WAVY BLUE,C,20,16,30,180
8809389351718,에콜린 마마스 케어크림 ,A,63,29,80,57
Stripe T/sh-Navy-S,스트라이프-네이비,B,51,40,62,61
CMZ110205,깃털 낚시대,B,32,65,24,22
Sweatshirts Black-XL,Ballon Sweatshirts (Black)(사이즈=XL),A,81,60,11,7
CMZ110281,벨크로2,C,58,57,78,194
O1SBSD59240XXX,브리즈숄더 LATTE BEIGE XXX,B,38,75,10,247
CMZ111349,반팔티밤색,A,19,68,57,71
O2SPLP16009XXX,맨디 2단 장지갑+BLACK,A,79,80,76,162
VD-TG-001,악역의 엔딩은 죽음뿐 티골드 vol.1 페넬로페,C,27,62,3,252
NKPM5S540E0M15000,"K2005GRG, M, 150",C,17,37,88,30
O9FSAK22009250,셀럽 엣지 첼시부츠 BLACK 250,A,43,45,94,243
10012420001,[TA221JK01P] double breast stripe suit(jacket)-blue-0,A,97,25,47,259
CMZ0081,아이스크림 차 ,C,56,83,72,238
O8FSSR57074230,몰턴 뮬 BUTTER 230,C,98,21,4,150
O9FSSS11009235,그리니 스니커즈 BLACK 235,C,12,14,17,101
8809393501130,프루낵 다크 초코 20개입,B,67,59,46,172
8809823070410,다담지갑 레몬,A,2,38,70,278
IN-AK-001,인소의 법칙 아크릴 키링 A. 함단이,B,40,5,78,61
AB-DP5_A,드롭퍼세트5-A(비닐포장),C,2,51,36,135
CMZ110779,도미,C,52,93,20,257
O0SBCB90004XXX,데이지 크로스바디 CREAM XXX,A,24,90,2,140
Sunday T/sh-Ivory-M,선데이-아이보리,B,64,37,42,190
O1FSSS51003235,Alley Sneakers IVORY,B,97,3,3,256
O1SBTT42130XXX,소피아 토트 VANILLA CREAM,A,43,65,40,297
O1SBCB27130XXX,알리 크로스바디 VANILLA CREAM XXX,A,98,41,16,298
0057-75,new 로고티 - 블랙,B,7,46,71,73
O2SBTT58048XXX,델라 토트_CLOUD,B,65,28,25,74
5727DUL-002A,"베르벨라커버아트파운데이션팩트포커버레벨3,베이지,,20,G",A,22,3,86,44
8809772780095,제주 연꽃잎 무실리콘 중건성 샴푸 260ml,C,59,58,94,144
O1FCLW010090FR,LEATHER MOTO JACKET WOMAN BLACK,B,76,29,51,70
CMZ111448,긴바지베이지,A,7,96,79,253
CMZ0042,강아지 우비 2XL,C,36,17,37,262
O1FBTT43009XXX,아멜리아 토트 BLACK,B,62,78,82,194
10008220002,[TA212JK01P] power shoulder single tailored suit(jacket)-black-1,B,55,28,17,50
96542255,미니점착메모지,C,72,15,31,46
O1FPHP13009XXX,넬리 반지갑 BLACK,A,37,95,56,144
O9FSSS11007230,그리니 스니커즈 PEWTER 230,C,93,76,97,89
O1FBTT70231XXX,엘프나 토트 DEEP GREEN,B,38,62,55,165
8809653771112,에어퀸 네오마스크(2매)(스타일리쉬 네이비)[낱장피킹],B,98,64,68,187
0214-60,더퓨어로터스 발효에센스 하늘색 엽서,A,28,17,93,141
900019,워터페인트 250ml 분홍색,C,13,20,63,15
O0SBCB22048XXX,모르간 크로스바디 CLOUD XXX,A,96,19,6,230
Sweat Pants L-grey S,Ballon Sweat Pants (L/grey)(사이즈=S),C,31,53,26,134
CMZ110694,고양이연어고기사료,A,34,42,1,90
8809079201743,더퓨어로터스 연꽃잎 슬리핑팩,A,4,42,34,226
O2SBCB46149XXX,루키 크랙 크로스바디-BUTTER CREAM,B,11,71,15,268
CMZ110182,캔디실 막대봉,C,18,35,77,29
9791197250897,유하다요기초일본어4,B,78,80,64,75
AB-COFL,CO_꽃,B,38,5,56,26
CMZ110625,냥이월드 갈매기,A,31,20,7,254
CMZ0076,접이식 욕조 (온도측정 노랑),C,41,33,66,286
8809491945485,길라 롱웨어 립크림 12호,B,58,62,23,66
8801121763964,[앨리슨]아몬드 브리즈 언스위트 950ml ,B,55,61,63,237
NBPD7F804W10265,"MRL247WR, (10), 265",A,33,33,97,280
O8FBCB21116XXX,제라드크로스바디SHADOW YELLOW,C,89,72,42,146
10003220001,linen bermuda pants-skyblue-S,A,12,44,68,234
O0SBBC47019XXX,모르간 버킷 CARAMEL XXX,A,86,75,89,254
O0SPPW22124XXX,뉴 헤리티지 폰월렛 BABY ROSE XXX,A,94,79,38,97
8809491945478,길라 롱웨어 립크림 11호,A,33,32,26,98
8809393500928,프루낵 화이트 초코 12개입,B,13,65,66,226
O9FSSS11007245,그리니 스니커즈 PEWTER 245,C,90,36,9,24
O1FBSD68009XXX,그레타 숄더 BLACK,B,2,20,28,56
Short Pants M-grey-L,반바지-그레이 컬러,C,93,22,59,149
O2SBSD61048XXX,스텔라 숄더_CLOUD,B,24,96,89,71
9791197250866,유하다요기초일본어1,A,39,82,45,54
O0FCTS200090FR,햄버거 프린트 티셔츠BLACK,C,95,49,13,113
RM212S002IV230,RM212S002IVORY,C,75,80,96,297
IN-AK-003,인소의 법칙 아크릴 키링 C. 은지호,C,24,50,43,172
8809222849433,더퓨어로터스 보태니컬 톤업 크림,C,60,23,92,144
1KSENV,스타아이드 키링(네이비),A,93,75,94,203
O1SBTT61130XXX,아난토트 VANILLACREAM XXX,C,17,50,41,293
AB-DP5_A,드롭퍼세트5-A(비닐포장),A,66,83,87,131
COLOR_HR,색칠북_영웅,C,77,12,15,56
AB_PCY,칼라컵_노랑,B,61,73,10,198
72SQ-021133,포인트앤뷰 스탠바이미  BLC 27인치,A,30,12,36,267
O9FSSS11007235,그리니 스니커즈 PEWTER 235,C,78,25,43,165
8809657119231,길라 롱웨어 디디 쿠션 #02,A,90,14,26,264
CMZ111531,크라프트 지퍼스탠드5호,C,39,1,88,106
O1SBTT46240XXX,마조렐토트 LATTE BEIGE XXX,A,61,67,44,247
CMZ110526,스테인레스 끈 1개,C,74,54,72,151
CNLCLFO001-V02,뉴 애플 그래뉼 클렌징 폼,A,67,11,54,36
CNLMULS009-V01,플러피 벨벳 립 무스 #OR01,A,84,5,11,64
900053,페인트패드,C,48,80,91,245
8809079204102,더퓨어로터스 제주 연꽃잎 & 동백 미스트,A,13,51,72,116
O1FBSD65130XXX,제너 숄더 VANILLA CREAM,C,78,46,93,278
O9SSDV27002225,데이나 포포 드라이빙슈즈 SILVER 225,C,25,36,35,37
O2SBSD51009XXX,달리 숄더_BLACK,C,83,7,94,51
s0026,마이 애사비 라인핏 12개월 (2입),B,4,98,93,9
RM204H002OG,럭스 벨벳 헤드밴드(올리브) OLIVE GREEN_F,A,67,72,37,279
RM204H009BR,마블 헤어밴드 BROWN _F,A,9,81,3,140
RM204J005BL,오팔 링 앤 넥크리스 세트(블루) BLUE_F,B,28,65,15,50
s0016,사노핏 엘라스틴 콜라겐,A,66,17,62,85
10013320003,[TA221KT23P] color block cashmere knit-brown-2,A,75,22,56,235
9791191687019,유하다요기초일본어6,C,22,22,56,230
9791196894474,고급 한자 교재2,B,89,40,85,200
TRAY_WT,공작판_흰색,C,57,24,1,13
2101MS050,옛새 미드데이쇼크 오 드 퍼퓸  50ML,C,22,53,34,122
10003320002,combine jacket-navy-M,A,17,89,38,3
72SQ-0010101,72square 스타일 마스크 매쉬 블랙 L,A,38,66,36,206
8809393501208,프루낵 요구르트 초코 20개입,B,61,41,81,193
O0FPPW25009XXX,티나 폰 월렛BLACKXXX,C,14,58,9,7
8809653770856,"(2매)에어퀸 비말차단마스크 ""낱장피킹!!""",B,47,50,97,223
O0SBSP37048XXX,줄리앙 쇼퍼 CLOUD XXX,B,9,5,91,51
NBPD8S530W10260,"U520DA, White, 260",B,13,3,43,94
O1FBCB47145XXX,졸리 크로스바디 WAVE BLUE,B,46,18,97,96
CMZ111752,리포아란 앰플 1EA,A,71,6,37,78
CP_RT(S),CP_직사각(소),A,62,48,95,153
O0FBTT84009XXX,로티 새들 토트BLACKXXX,C,72,99,55,176
1140040111005,칫솔케이스-핑크,B,67,87,68,134
O1SBBC02130XXX,테일러버킷 VANILLA CREAM,A,48,10,28,176
O1FBBC16009XXX,셀레나 버킷 BLACK,C,3,1,19,207
72CP-010227,"개인정보 보호필름 27"" W9_쿠팡제트배송",B,11,56,19,263
900065,반고흐방도안/8절/10매,B,14,49,88,212
20LSOU0YE,"[하울팟]아웃도어 리드줄,F,엘로우",B,89,97,46,179
ONF-CB-001,온오어오프 컬렉팅 카드 바인더,B,70,25,75,29
8809657119224,길라 롱웨어 디디 쿠션 #01,B,64,31,68,106
900093,CV_생명의나무,C,38,4,69,276
8809793590222,이즈프럼 트랩워터 모어라이크 에센스,B,91,98,95,133
8809653770856,"(2매)에어퀸 비말차단마스크 ""낱장피킹!!""",C,61,73,5,61
A0003,아큐민 수용성 커큐민 정제 6개월,C,51,2,86,27
8809793590178,쓰리블랜드오일 미니 골든 ,A,71,48,20,174
O0SBCB79048XXX,첼시 크로스바디 CLOUD,C,2,1,60,58
1019,EK샘플 모이스쳐인텐시브스킨,C,85,16,92,31
 JRD_DOT2_AP ,도트마카북세트,A,10,69,19,186
CMZ110038,마약박스 냥이버스,A,15,68,74,158
O9FHLW03078055,URBAN CHIC LEATHER JACKET WOMEN BEIGE 055,A,76,89,37,100
IN-AS-004,인소의 법칙 아크릴 스탠드 D. 권은형,B,7,77,49,206
0057-73,new 로고티 - 그레이,C,99,4,44,258
CMZ110045,마약박스 냥이트럭,A,68,63,90,277
O1FBCB01009XXX,캐리 크로스바디 BLACK,A,62,60,26,288
O0SPPW22124XXX,뉴 헤리티지 폰월렛 BABY ROSE XXX,A,93,45,70,256
O1SBSD10009XXX,미나 숄더 BLACK XXX,B,13,81,81,28
O9FSSS11009230,그리니 스니커즈 BLACK 230,B,9,65,3,201
0057-76,new 로고티 - 카키,B,40,57,59,181
8809990414840,핸들 스트랩 노트북 파우치 M 피넛,B,79,41,8,228
CMZ110144,방울 캔디주머니 막대봉,A,3,17,83,223
O0SBSD81009XXX,마고 숄더 BLACK XXX,B,45,96,61,52
8809744190112,(1매)구디즈 KF94 마스크(화이트/흰색),A,76,55,72,253
7118409000006,토킹피스 하트(레드),B,33,6,81,258
CMZ110212,레알 나비 막대봉 (루비),A,57,83,74,42
SFWJPO01,부먹찌먹탕수육 팝콘색,A,54,94,37,177
O1SBCB35009XXX,바히아 크로스바디_BLACK,B,14,35,95,34
ONF-SD-01,온 오어 오프 SD피규어-대형,B,61,48,70,160
8801121768075,[앨리슨]아몬드 브리즈 바나나 190ml 24개입,B,27,24,14,248
Love ya T/sh-M-grey-L,러브야-멜란지 그레이,A,60,57,10,236
8003753158679,캡슐커피: 일리 네스프레소 호환캡슐 클라시코,B,23,13,68,209
AB_CORD,CO_원(솜),C,85,44,47,163
s0029,사노그래프 컷앤아웃 애사비 구미,A,99,6,7,9
O1FSSO53031245,헤리티지 스니커즈 DARK GREY,C,65,70,46,1
72SQ-005070,72스퀘어 안티포그 스프레이,C,97,80,92,227
O0FPAC23004XXX,마이크로 로티CREAMXXX,B,28,8,3,58
CMZ110137,방울 꿈틀이 막대봉,B,95,28,74,231
O0SBCB17009XXX,로페즈 크로스바디 BLACK XXX,B,6,42,37,280
ONF-SD-01,온 오어 오프 SD피규어-대형,B,83,19,32,279
O0FBSD95004XXX,리브숄더CREAM,B,66,71,41,278
IN-AK-004,인소의 법칙 아크릴 키링 D. 유천영,A,29,26,13,293
7118409000156,서클약속카드,A,93,20,59,17
8809733531216,"포인트앤뷰 종이질감 MAG_BLC LG 그램360 16""W",A,22,65,90,68
IN-AK-003,인소의 법칙 아크릴 키링 C. 은지호,B,9,53,36,101
AB_CS_VGSF,MS_해바라기,B,98,30,1,52
EVA_BOY,렛츠페인트 물감찍기 (남아용)하늘색,A,69,6,63,25
CMZ0004,회색 모래삽,A,59,5,76,95
AB_COMAN,CO_사람(솜),C,78,18,22,141
O1FBSP53009XXX,지지 쇼퍼 BLACK,C,57,22,82,297
O1FBTT70009XXX,엘프나 토트 BLACK,B,46,38,68,89
CMZ110700,고양이오리고기사료,C,87,87,57,138
A0003,아큐민 수용성 커큐민 정제 6개월,A,57,95,52,149
BL2101,버튼립스틱 01.엘레강스레드,C,96,44,33,216
O8SSDV26009225,데이나 엠보 드라이빙슈즈 BLACK 225,C,54,99,25,269
10013920002,[TA221VT53P] stitch slim vest-brown-1,B,37,84,67,134
O2SBCB54130XXX,헬렌 크로스바디_VANILLA CREAM,C,21,22,13,251
s0030,사노그래프 린앤컷 마이 애사비 구미,B,63,18,16,172
DOTBOOK_AP,렛츠도트 알파벳,C,27,8,28,217
O2SBCB16009XXX,사나 크로스바디+BLACK,A,17,14,66,198
O9SSSN72037245,데이나샌들 PALE BLUE 245,A,36,24,48,130
10013620002,[TA221JK52P] stitch slim jacket-brown-1,A,49,21,36,210
O1FBBC27017XXX,카일리 버킷 LAVA RED,C,26,27,83,288
72CP-010227,"개인정보 보호필름 27"" W9_쿠팡제트배송",C,98,61,28,297
O7SSSS01009235,헤리티지 스니커즈 BLACK 235,C,39,37,47,41
CMZ110281,벨크로2,B,90,17,52,155
O2SBTT34133XXX,바히아 캔버스 미니 토트_SAND BROWN,C,77,7,26,36
O0FBCB82009XXX,로티 크로커 크로스바디BLACK,B,94,86,71,192
8809733531124,"포인트앤뷰 종이질감 MAG_BLC 에어4세대 10.9""",C,59,7,95,209
O0FCTS181280FR,다이닝 프린트 맨투맨 티셔츠MELANG WHITE,A,31,81,50,42
CMZ110731,우유팩딸기,A,81,18,51,289
DOTCP5_5,도트 칼라색칠도안 5종 5매(8절) ,B,72,83,83,39
8809563066643 ,에콜린 젤 클렌저,A,3,46,81,125
O2SBSD51009XXX,달리 숄더_BLACK,A,32,59,39,275
CMZ110571,조개빗브라운,B,4,9,37,190
LSSS21B004BM,스위치백 크로커 블루미스트,B,96,2,78,110
O2SPCC07009XXX,루시 카드케이스+BLACK,B,63,39,40,244
111222,박스,C,57,51,69,187
SPIN_PP2,스핀_PP2(흰색과 검은색),C,63,2,95,56
O0FPCC28009XXX,데카 아코디언 카드케이스BLACKXXX,B,44,51,92,224
s0011,사노핏 사과초모식초 파우더 50g,B,36,11,52,250
8801121768075,[앨리슨]아몬드 브리즈 바나나 190ml 24개입,A,51,49,11,34
AB-CBSC,CB_허수아비,C,31,26,53,52
20HAOUMBR,"[하울팟]아웃도어 하네스,M,브라운",B,52,36,80,30
RM204H002DY,럭스 벨벳 헤드밴드(그레이) DARK GREY_F,C,47,72,23,81
O1FBCB01009XXX,캐리 크로스바디 BLACK,A,84,88,13,3
7118409000231,토킹피스 빅벌새,B,89,49,50,264
ROLL46W,롤지_46W,A,59,13,82,241
CMZ110373,아기공룡사우르스 그린,B,1,14,4,84
O9FSAK22009245,셀럽 엣지 첼시부츠 BLACK 245,C,20,60,35,232
CMZ110786,고양이 창문 장난감,A,47,73,46,189
O9SSDV27002235,데이나 포포 드라이빙슈즈 SILVER 235,B,11,99,16,57
8809465970307,은가비 감귤과즐,C,95,32,36,246
8802863124532,제이엠 비컴포르테,A,55,70,67,293
MTFMUFD001-V01,민트팩토리 원 드롭 셋-업 파운데이션21 래스팅 아이보리,C,45,2,98,22
O0SBCB24123XXX,로스코 미니 크로스바디 PARADISE XXX,A,10,28,74,214
0206-5,더액츄얼리 기프트 패키지 적재용,A,73,44,52,177
0159-007,MOCAR 티셔츠 (화이트M),C,86,67,79,228
O0SBCB22048XXX,모르간 크로스바디 CLOUD XXX,A,92,54,24,284
O2SBCB16009XXX,사나 크로스바디+BLACK,B,50,58,14,28
RM204J012PC,하트 스테이트 펜던트 넥크리스 PEACH_F,A,20,44,32,235
7118409000008,토킹피스 사과(레드),B,55,55,29,70
Sub0005,쇼핑백,B,93,56,48,75
O0FBSD95127XXX,리브숄더TRUE NAVY,C,41,55,85,257
NBPA7F803E1522000,"CRT300ME, (15)Gray, 220",A,39,20,66,132
8809679580019,캐칭환 아웃박스(10포),C,51,71,36,215
0081008,PET BED-Green,A,47,31,63,100
900006,워터페인트 250ml 5색,A,66,64,15,20
8809823070298,다이어리 블랙,B,27,84,59,2
O1FBSD23147XXX,스파클 숄더 MUD PINK,C,96,87,88,32
O2SBSD31048XXX,노아 숄더_CLOUD,C,91,99,49,242
LFW21LBK,프레즐 라지 블랙,C,23,15,22,104
O8FBCB21116XXX,제라드크로스바디SHADOW YELLOW,C,7,10,37,7
8809653771143,에어퀸 네오마스크(2매)(애쉬 그레이)[낱장피킹],B,55,35,6,111
ONF-SD-02,온 오어 오프 SD피규어-이영,B,91,45,73,161
O8FCDR140090FR,MOROCCAN STAR PATTERN DRESS BLACK 0FR,B,10,20,77,42
O0SBCB79048XXX,첼시 크로스바디 CLOUD,B,20,25,40,235
O0FPAC12002XXX,금속체인 토트 스트랩_SILVER,C,49,86,96,154
Sweatshirts Black-XL,Ballon Sweatshirts (Black)(사이즈=XL),B,77,61,73,29
72SQ-010117,"포인트앤뷰 개인정보 보호필름 17"" W",C,58,84,16,285
CMZ110700,고양이오리고기사료,B,22,85,93,164
s0029,사노그래프 컷앤아웃 애사비 구미,A,2,82,17,102
O1SBTT61130XXX,아난토트 VANILLACREAM XXX,B,97,98,79,190
900086,CB_자동차,C,20,1,10,35
8809653771211,에어퀸 에센셜 생리대 롱라이너 20P,B,68,42,57,162
72SQ-021122,포인트앤뷰 거치형 BLC 27W9,C,34,22,51,164
8809793590178,쓰리블랜드오일 미니 골든 ,A,27,48,1,156
AB_CORD,CO_원(솜),C,52,53,15,254
O2SBSD36009XXX,바히아 숄더_BLACK,B,46,3,99,272
AB_CS_VRGP,MS_진주귀걸이,B,99,10,12,112
RM204J011MT,플로라 포스트 이어링 MULTI_F,C,31,13,24,10
4100014111000,뚜레쥬르 파우더수납장,B,75,61,19,146
CMZ110434,동물마을 쥐돌이,C,93,22,39,23
O9SBCB21061XXX,다이너 크로스바디 CINNAMON XXX,C,5,21,22,269
O0FBTT84009XXX,로티 새들 토트BLACKXXX,A,36,30,55,264
8809639173107,길라 사프란 톤업 데이 크림,A,53,43,32,136
10013020002,[2차 리오더] [TA221JK04P] snow white classic jacket-navy-1,C,22,79,77,261
O1FSSS51009240,Alley Sneakers BLACK,A,29,80,89,94
O2SBSD31009XXX,노아 숄더_BLACK,B,29,76,44,293
O2SBSD14152XXX,아미 숄더_STOCK PURPLE,B,2,50,44,1
CMZ110656,냥이월드 침대,A,47,28,29,219
0133-12,사은품 쇼핑백,C,34,20,42,173
O0SBCB22048XXX,모르간 크로스바디 CLOUD XXX,C,90,16,42,154
RM204H006GN,클래식 빌라 프린트 스크런치(그린) GREEN_F,C,66,88,45,98
O0FPCC28004XXX,데카 아코디언 카드케이스CREAMXXX,C,92,87,13,292
7118409000033,토킹피스 물방울,C,4,95,51,239
O1FBSD10009XXX,미셀 숄더 BLACK,B,34,91,18,145
8809436850041,에포나 릴렉싱 딥 모이스처 데일리 크림,B,77,77,60,72
7118409000003,나무 포스터,A,26,68,6,280
8809653771112,에어퀸 네오마스크(2매)(스타일리쉬 네이비)[낱장피킹],C,41,21,69,205
O2SBTT34133XXX,바히아 캔버스 미니 토트_SAND BROWN,A,98,12,37,75
O1SBCB27009XXX,알리 크로스바디 BLACK XXX,B,3,36,3,225
MINI_DOT_12,미니도트_12,C,29,48,10,45
8809653770733,에어본마스크 성인용(10매),A,16,6,47,160
8000070043206,원두커피: 2. 라바짜 골드셀렉션,B,63,91,92,153
8809733531247,"포인트앤뷰 종이질감 MAG_BLC S8+ 12.4""",B,95,52,15,3
7118409000231,토킹피스 빅벌새,B,69,71,47,169
O1FCLW04009066,LEATHER BLAZER BLACK,B,28,85,63,278
O0FCCT25009077,후드 벨티드 울 코드 BLACK 077,B,6,96,91,69
NKPM5S540E0M14000,"K2005GRG, M, 140",C,50,4,69,13
8809823070274,비스킷롤M 피넛,A,39,16,21,107
CMZ110694,고양이연어고기사료,C,12,7,37,101
8809653770627,브레스 나이트,B,46,32,2,178
LFW21SLG,프레즐 스몰 라이트그레이,A,44,68,3,291
CMZ110229,레알 나비 막대봉 (바이올렛),A,29,21,18,118
10012420002,[TA221JK01P] double breast stripe suit(jacket)-blue-1,A,12,21,43,114
CMZ110243,고양이 터널1(T자형),A,56,66,6,116
O1SBCB01130XXX,테일러 글래드 크로스바디 VANILLA CREAM XXX,C,24,71,43,268
CMZ110892,발톱깎기핑크,A,71,23,25,103
CMZ111462,긴팔티네이비,C,86,43,4,293
O1FPAC20002XXX,스파클 팩 SILVER,A,37,69,46,227
O2SPCC07130XXX,루시 카드케이스+VANILLA CREAM,A,40,96,77,165
0210SET1,"크림세트A-크림 3,비누 2,크림샘플 1",B,88,40,77,13
BGLMUMA003-V01,벨그림 스키니 컬 픽스카라 브라운,C,67,61,19,91
8809497140259,길라 사프란 톤업 리페어 크림,C,93,8,98,185
O1FPLP15009XXX,데카 1단 장지갑 BLACK,C,15,69,41,55
CNLMUBL005-V02,돔-글 블러셔 #HL01 내추럴하이라이터,C,57,58,70,103
8809990116409,생어성초 어썸에센스,A,83,98,96,106
DEF000,블랙 플레이트 세트(5kg),B,23,20,15,31
O1SBCB35118XXX,바히아 크로스바디 TOFFEE TAN XXX,C,49,6,67,298
WP_60ml_5,물감5색60ml,B,52,48,97,189
CMZ111448,긴바지베이지,C,47,59,22,173
O9FSSS11007245,그리니 스니커즈 PEWTER 245,B,44,74,11,94
RM204J005BL,오팔 링 앤 넥크리스 세트(블루) BLUE_F,C,96,47,55,67
2130001111007,레지옹-다크브라운,B,10,93,13,215
RM204J007LI,아무르 크리스탈 넥크리스(라이트 핑크) LIGHT PINK_F,A,61,49,35,102
8809733531094,"포인트앤뷰 지문방지 AFP_BLC 프로5세대 M1 12.9""",A,93,82,31,297
O9SSLF35103230,델루카 로퍼 ASH GREY 230,B,30,31,60,263
O8SCTS15009066,LONG SLV LEATHER PTCH TS BLACK 066,A,98,67,20,82
O2SPCC08130XXX,루시 지퍼돌이 카드케이스+VANILLA CREAM,A,3,51,13,119
CBR_10,칼라붓10,B,27,62,2,187
8809653771228,에어퀸 에센셜 생리대 중형 18P,B,22,66,39,19
0159-008,MOCAR 티셔츠 (화이트XL),C,44,13,80,173
PP204P0406PK,Rainbow socks 6pack for baby,C,81,10,72,183
